symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
AVP-NWL,AVP,NWL,-4.111272974095046,0.0009277941621501475,Personal Products,Housewares & Specialties,Consumer Staples,Consumer Discretionary
DOW-TDC,DOW,TDC,-4.110701792317077,0.0009298187108360312,Diversified Chemicals,Application Software,Materials,Information Technology
BA-LO,BA,LO,-4.110646564933696,0.0009300146830001351,Aerospace & Defense,Tobacco,Industrials,Consumer Staples
RAI-VTR,RAI,VTR,-4.1103216761883274,0.0009311683210399458,Tobacco,Diversified Financial Services,Consumer Staples,Financials
DVA-MON,DVA,MON,-4.109246092111486,0.0009349971509157522,Health Care Facilities,Fertilizers & Agricultural Chemicals,Health Care,Materials
EQR-MJN,EQR,MJN,-4.109191976338911,0.0009351901795157623,REITs,Packaged Foods & Meats,Financials,Consumer Staples
KRFT-PX,KRFT,PX,-4.109060272444945,0.0009356601174979634,Packaged Foods & Meats,Industrial Gases,Consumer Staples,Materials
TIF-TWX,TIF,TWX,-4.108488602657922,0.000937702479753512,"Apparel, Accessories & Luxury Goods",Broadcasting & Cable TV,Consumer Discretionary,Consumer Discretionary
ECL-V,ECL,V,-4.108162286282709,0.0009388701568331194,Specialty Chemicals,Internet Software & Services,Materials,Information Technology
A-TRV,A,TRV,-4.107880282660538,0.0009398803636059287,Health Care Equipment & Services,Property & Casualty Insurance,Health Care,Financials
LRCX-PNC,LRCX,PNC,-4.10759874622313,0.0009408899120104108,Semiconductor Equipment,Banks,Information Technology,Financials
PCLN-PPG,PCLN,PPG,-4.107577442438554,0.0009409663455684652,"Hotels, Resorts & Cruise Lines",Diversified Chemicals,Consumer Discretionary,Materials
MON-QCOM,MON,QCOM,-4.107289941232496,0.0009419984090538961,Fertilizers & Agricultural Chemicals,Semiconductors,Materials,Information Technology
